"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-09","8.05",,"0.00","0.0","0.0","42","50","30","  170","  180","23.0","28.0","    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-10","15.66",,"0.00","0.0","0.0","52","60","41","  290","  270","29.1","36.9","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-11","13.65",,"0.00","0.0","0.0","43","47","35","  310","  310","28.0","38.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-12","6.26",,"0.04","0.0","0.0","39","45","31","   20","   10","19.9","23.9",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-13","13.87",,"0.00","0.0","0.0","44","56","38","  250","  250","21.9","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-14","14.32",,"0.00","0.0","0.0","47","53","41","  310","  320","29.1","35.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-15","13.42",,"0.00","0.0","0.0","47","55","41","  170","  170","25.9","32.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-16","5.82",,"0.08","0.0","0.0","51","64","43","  200","  210","15.0","18.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-17","17.22",,"0.37","0.0","0.0","50","56","31","  320","  330","33.1","40.9","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-18","15.43",,"0.00","0.0","0.0","34","42","28","  330","  340","33.1","42.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-19","12.53",,"0.00","0.0","0.0","40","46","32","  170","  160","28.0","32.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-20","8.28",,"0.00","0.0","0.0","47","61","40","  270","  270","19.9","27.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-21","10.07",,"0.19","0.0","0.0","43","49","36","  360","   10","21.0","25.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-22","8.05",,"0.17","0.0","0.0","40","44","35","   60","   70","15.0","19.0","    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-23","8.72",,"0.03","0.0","0.0","39","44","38","  200","  200","21.0","25.9","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-24","18.57",,"0.00","0.0","0.0","42","48","25","  310","  310","38.9","47.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-25","6.93",,"0.00","0.0","0.0","27","33","22","  320","  320","19.9","23.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-26","10.51",,"0.00","0.0","0.0","33","50","23","  230","  230","19.9","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-27","12.08",,"0.32","1.0","0.0","38","43","31","  110","  100","25.1","31.1","    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-02-28","11.41",,"0.29","0.5","2.0","34","38","32","   50","   50","23.9","29.1","    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-01","8.72",,"0.02","0.0","0.0","38","43","29","  150","  150","19.9","21.9","    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-02","12.30",,"0.00","0.0","0.0","44","55","39","  340","  330","29.1","35.1","    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-03","11.41",,"0.11","0.0","0.0","40","45","32","   90","   90","29.1","35.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-04","16.78",,"0.83","0.0","0.0","42","46","39","   90","  110","40.0","49.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-05","16.11",,"0.00","0.0","0.0","44","56","36","  310","  320","29.1","36.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-06","14.99",,"0.00","0.0","0.0","46","54","39","  310","  310","23.9","28.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-07","20.58",,"0.08","0.3","0.0","42","48","32","  330","  340","36.9","47.0","    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-08","20.80",,"0.00","0.0","0.0","37","47","30","  350","  350","33.1","40.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-09","17.00",,"0.00","0.0","0.0","41","51","33","  360","  360","31.1","38.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-10","7.83",,"0.37","0.0","0.0","39","45","33","   10","   20","15.0","21.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-11","14.32",,"0.46","0.0","0.0","41","44","35","  360","   60","21.9","27.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-12","9.62",,"0.00","0.0","0.0","39","46","32","  350","  350","18.1","21.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-13","12.75",,"1.10","0.0","0.0","41","43","38","   80","   90","21.9","31.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-14","23.04",,"0.08","0.1","0.0","37","39","33","  310","  300","33.1","46.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-15","25.28",,"0.00","0.0","0.0","38","47","34","  320","  330","36.9","48.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-16","9.84",,"0.00","0.0","0.0","41","55","32","  310","  310","19.9","27.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-17","8.05",,"0.00","0.0","0.0","46","56","39","  210","  220","16.1","18.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-18","16.55",,"0.02","0.0","0.0","48","52","41","  330","  330","25.9","32.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-19","18.79",,"0.00","0.0","0.0","37","41","30","  290","  290","31.1","40.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-20","12.53",,"0.00","0.0","0.0","37","44","31","  180","  180","21.9","27.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-21","10.74",,"0.00","0.0","0.0","44","58","32","  180","  190","23.0","29.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-22","12.53",,"0.00","0.0","0.0","45","55","36","  170","  170","23.9","31.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-23","8.72",,"0.08","0.0","0.0","48","59","43","  230","  230","17.0","21.0","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-24","10.07",,"0.01","0.0","0.0","50","57","41","  310","  320","23.0","27.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-25","14.76",,"0.10","0.0","0.0","43","45","39","  100","  100","28.0","40.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-26","11.86",,"0.00","0.0","0.0","50","62","43","  270","  270","25.1","30.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-27","11.63",,"0.16","0.0","0.0","49","57","39","  100","  110","21.9","27.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-28","8.95",,"0.02","0.0","0.0","45","52","39","  350","  350","18.1","25.9","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-29","12.97",,"0.00","0.0","0.0","44","51","36","  310","  300","32.0","38.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-30","15.21",,"0.02","0.0","0.0","39","46","31","  330","  330","33.1","40.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-03-31","9.62",,"0.00","0.0","0.0","41","53","29","  170","  160","19.9","23.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-01","17.67",,"0.22","0.0","0.0","52","61","49","  290","  300","32.0","42.1","    1",,"    1",,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-02","19.24",,"0.00","0.0","0.0","49","52","37","  310","  290","38.9","49.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-03","13.65",,"0.00","0.0","0.0","44","53","33","  180","  190","35.1","42.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-04","8.28",,"0.00","0.0","0.0","52","64","43","  180","  190","25.9","33.1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-05","11.41",,"0.00","0.0","0.0","51","54","48","   90","  100","25.1","31.1","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-06","8.28",,"0.02","0.0","0.0","55","74","48","  330","  340","23.0","29.1","    1","    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-07","16.78",,"0.00","0.0","0.0","56","58","43","  320","  310","23.9","32.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-08","10.74",,"0.00","0.0","0.0","44","51","38","  330","  330","18.1","23.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-09","9.84",,"0.00","0.0","0.0","44","51","38","  130","  130","21.9","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-10","11.63",,"0.00","0.0","0.0","46","58","38","  180","  190","21.0","23.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-11","14.32",,"0.00","0.0","0.0","56","73","45","  230","  230","23.9","29.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-12","12.97",,"0.00","0.0","0.0","68","84","56","  310","  300","25.1","30.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-13","11.18",,"0.00","0.0","0.0","69","85","53","  180","  240","21.0","23.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-14","9.40",,"0.00","0.0","0.0","68","82","55","  180","  180","21.9","27.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-15","6.71",,"0.02","0.0","0.0","59","65","54","  110","  100","13.0","16.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-16","6.93",,"0.00","0.0","0.0","59","66","52","  200","  120","16.1","19.0","    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-17","13.20",,"0.01","0.0","0.0","57","67","53","  270","  270","25.1","35.1","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-18","19.24",,"0.00","0.0","0.0","55","58","45","  280","  220","28.0","45.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-19","11.86",,"0.00","0.0","0.0","51","64","43","  300","  300","23.0","29.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-20","6.93",,"0.00","0.0","0.0","50","59","43","   30","   30","15.0","17.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-21","11.41",,"0.00","0.0","0.0","54","66","47","  100","  110","21.9","25.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-22","12.30",,"1.02","0.0","0.0","57","65","53","  110","  110","21.9","29.1","    1",,"    1",,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-23","10.51",,"1.26","0.0","0.0","59","69","51","  300","  300","19.9","28.0","    1",,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-24","11.41",,"0.00","0.0","0.0","53","59","44","  200","  200","19.9","23.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-25","8.50",,"0.00","0.0","0.0","52","58","45","  200","  220","14.1","18.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-26","9.40",,"0.00","0.0","0.0","50","56","42","  120","  120","16.1","19.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-27","7.61",,"0.00","0.0","0.0","52","57","48","  150","  150","14.1","16.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-28","12.30",,"0.37","0.0","0.0","50","54","46","  100","  100","23.9","31.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-29","18.34",,"1.75","0.0","0.0","50","52","48","   90","  100","30.0","40.9","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-04-30","10.96",,"1.36","0.0","0.0","54","59","50","  120","  110","23.0","35.1","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-01","17.45",,"0.03","0.0","0.0","56","62","49","  280","  290","23.9","38.9",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-02","14.32",,"0.10","0.0","0.0","52","57","46","  240","  240","23.9","31.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-03","10.51",,"0.01","0.0","0.0","51","56","47","  270","  260","18.1","21.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-04","9.40",,"0.16","0.0","0.0","50","56","47","   40","   40","15.0","21.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-05","6.71",,"0.00","0.0","0.0","52","61","44","  170","  210","14.1","17.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-06","8.05",,"0.00","0.0","0.0","58","72","48","  180","  310","18.1","23.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-07","10.07",,"0.00","0.0","0.0","61","73","53","  170","  170","21.0","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-08","10.07",,"0.00","0.0","0.0","66","78","57","  290","  300","23.9","28.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-09","8.50",,"0.00","0.0","0.0","60","63","50","   30","   30","17.0","21.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-10","8.72",,"0.00","0.0","0.0","55","66","44","  200","  190","23.9","27.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-11","9.84",,"0.00","0.0","0.0","62","75","51","  200","  200","19.9","21.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-12","9.17",,"0.00","0.0","0.0","68","83","56","  190","  200","19.9","23.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-13","9.62",,"0.00","0.0","0.0","71","80","64","   10","   20","17.0","21.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-14","8.28",,"0.00","0.0","0.0","65","69","56","  360","   10","17.0","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-15","12.08",,"0.00","0.0","0.0","62","72","51","  230","  240","21.9","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-16","13.42",,"0.00","0.0","0.0","67","78","56","  250","  240","21.9","28.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-17","16.11",,"0.00","0.0","0.0","64","68","49","  350","  360","28.0","34.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-18","10.51",,"0.00","0.0","0.0","52","57","42","  170","  180","18.1","21.9",,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-19","11.86",,"0.00","0.0","0.0","57","66","51","  160","  160","25.1","31.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-20","9.40",,"1.65","0.0","0.0","60","63","57","  170","  160","23.0","28.0","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-21","13.20",,"0.00","0.0","0.0","63","72","56","  320","  330","25.9","35.1","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-22","9.84",,"0.00","0.0","0.0","65","74","54","  120","  110","17.0","21.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-23","8.50",,"0.00","0.0","0.0","58","65","52","  140","  130","17.0","21.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-24","8.50",,"0.01","0.0","0.0","58","69","49","  360","   30","21.9","33.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-25","14.32",,"0.00","0.0","0.0","59","68","49","  360","  350","25.1","32.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-26","8.50",,"0.00","0.0","0.0","62","73","51","   30","   10","19.9","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-27","7.61",,"0.00","0.0","0.0","63","73","50","  170","  170","15.0","19.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-28","8.05",,"0.00","0.0","0.0","63","71","55","  180","  180","15.0","18.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-29","13.65",,"0.00","0.0","0.0","65","75","56","  110","  100","25.1","34.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-30","10.51",,"0.00","0.0","0.0","59","66","50","  140","  140","18.1","23.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-05-31","5.14",,"0.00","0.0","0.0","58","70","48","  160","  160","14.1","16.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-01","5.37",,"0.00","0.0","0.0","66","76","57","  180","  190","12.1","18.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-02","6.26",,"0.02","0.0","0.0","68","79","60","  300","  320","14.1","21.0",,,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-03","10.96",,"0.00","0.0","0.0","65","70","54","   60","   50","21.0","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-04","10.51",,"0.00","0.0","0.0","58","70","49","   20","   20","19.9","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-05","10.51",,"0.00","0.0","0.0","63","77","50","  360","  360","25.9","34.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-06","10.29",,"0.03","0.0","0.0","67","77","59","  330","  330","23.9","29.1",,,"    1",,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-07","12.30",,"0.00","0.0","0.0","65","72","56","  310","  290","21.9","28.0",,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-08","5.59",,"0.00","0.0","0.0","62","71","51","  220","  220","16.1","23.0",,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-09","7.61",,"0.06","0.0","0.0","64","72","58","  190","  190","19.9","21.9",,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-10","10.51",,"0.03","0.0","0.0","65","80","56","  300","  290","21.0","27.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-11","10.07",,"0.02","0.0","0.0","68","76","62","  180","  180","25.1","31.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-12","12.75",,"0.18","0.0","0.0","69","76","65","  110","  140","19.9","25.9","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-13","12.08",,"0.00","0.0","0.0","70","80","64","  240","  240","21.9","25.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-14","12.53",,"0.24","0.0","0.0","67","72","61","  260","  280","23.0","29.1","    1",,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-15","12.30",,"0.00","0.0","0.0","69","80","61","  310","  310","18.1","32.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-16","6.49",,"0.20","0.0","0.0","69","78","61","  260","  260","19.9","23.0",,,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-17","14.32",,"0.00","0.0","0.0","68","81","60","  360","  360","28.0","40.0",,,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2023-06-18","10.29",,"0.00","0.0","0.0","71","82","64","  320","  310","21.0","25.9",,,,,
